id,source,images,attributes,game,set,functional_name,item_name
68cf9cf5-96c2-4ce0-b0e4-e34bae849d93,third-party-document,"[""on-the-edge_limited-edition_the-dirt-on-her-exaltedness,-monique-d'aubainne,-historic-liberator-and-current-shepherdess-of-al-amarja""]","{""game"": ""On the Edge"", ""set"": ""Limited Edition"", ""functional_name"": ""The Dirt on Her Exaltedness, Monique D'Aubainne, Historic Liberator and Current Shepherdess of Al Amarja"", ""item_name"": ""The Dirt on Her Exaltedness, Monique D'Aubainne, Historic Liberator and Current Shepherdess of Al Amarja"", ""name_printed"": ""The Dirt on Her Exaltedness, Monique D'Aubainne, Historic Liberator and Current Shepherdess of Al Amarja"", ""release_date"": ""1994-10"", ""rarity"": ""R"", ""number"": ""1"", ""artist_name_provided"": ""Nephew""}",On the Edge,Limited Edition,"The Dirt on Her Exaltedness, Monique D'Aubainne, Historic Liberator and Current Shepherdess of Al Amarja","The Dirt on Her Exaltedness, Monique D'Aubainne, Historic Liberator and Current Shepherdess of Al Amarja"
7e9a4456-043a-4e68-a185-7872179e47cc,third-party-document,"[""on-the-edge_limited-edition_gladsteins'-secret""]","{""game"": ""On the Edge"", ""set"": ""Limited Edition"", ""functional_name"": ""Gladsteins' Secret"", ""item_name"": ""Gladsteins' Secret"", ""name_printed"": ""Gladsteins' Secret"", ""release_date"": ""1994-10"", ""rarity"": ""R"", ""number"": ""2"", ""artist_name_provided"": ""Nephew""}",On the Edge,Limited Edition,Gladsteins' Secret,Gladsteins' Secret
400ed14d-ef1c-4a38-a2da-67b186d37c93,third-party-document,"[""on-the-edge_limited-edition_glorious-lords'-secret""]","{""game"": ""On the Edge"", ""set"": ""Limited Edition"", ""functional_name"": ""Glorious Lords' Secret"", ""item_name"": ""Glorious Lords' Secret"", ""name_printed"": ""Glorious Lords' Secret"", ""release_date"": ""1994-10"", ""rarity"": ""R"", ""number"": ""3"", ""artist_name_provided"": ""Nephew""}",On the Edge,Limited Edition,Glorious Lords' Secret,Glorious Lords' Secret
bee67ad0-2fbb-4f28-8756-526e5d97b79d,third-party-document,"[""on-the-edge_limited-edition_glugs'-secret""]","{""game"": ""On the Edge"", ""set"": ""Limited Edition"", ""functional_name"": ""Glugs' Secret"", ""item_name"": ""Glugs' Secret"", ""name_printed"": ""Glugs' Secret"", ""release_date"": ""1994-10"", ""rarity"": ""R"", ""number"": ""4"", ""artist_name_provided"": ""Nephew""}",On the Edge,Limited Edition,Glugs' Secret,Glugs' Secret
5608a0fe-acfa-40c3-9dae-9a6d3ebf8189,third-party-document,"[""on-the-edge_limited-edition_hermetics'-secret""]","{""game"": ""On the Edge"", ""set"": ""Limited Edition"", ""functional_name"": ""Hermetics' Secret"", ""item_name"": ""Hermetics' Secret"", ""name_printed"": ""Hermetics' Secret"", ""release_date"": ""1994-10"", ""rarity"": ""R"", ""number"": ""5"", ""artist_name_provided"": ""Nephew""}",On the Edge,Limited Edition,Hermetics' Secret,Hermetics' Secret
1a885521-a1b4-4e86-aeaa-2cf098b36b83,third-party-document,"[""on-the-edge_limited-edition_kergillian'-secret""]","{""game"": ""On the Edge"", ""set"": ""Limited Edition"", ""functional_name"": ""Kergillian' Secret"", ""item_name"": ""Kergillian' Secret"", ""name_printed"": ""Kergillian' Secret"", ""release_date"": ""1994-10"", ""rarity"": ""R"", ""number"": ""6"", ""artist_name_provided"": ""Nephew""}",On the Edge,Limited Edition,Kergillian' Secret,Kergillian' Secret
ac03ad30-4a5e-4614-86db-8915c230d1da,third-party-document,"[""on-the-edge_limited-edition_pharoahs'-secret""]","{""game"": ""On the Edge"", ""set"": ""Limited Edition"", ""functional_name"": ""Pharoahs' Secret"", ""item_name"": ""Pharoahs' Secret"", ""name_printed"": ""Pharoahs' Secret"", ""release_date"": ""1994-10"", ""rarity"": ""R"", ""number"": ""7"", ""artist_name_provided"": ""Nephew""}",On the Edge,Limited Edition,Pharoahs' Secret,Pharoahs' Secret
c2004d2f-547f-4193-aad2-4a9e6aafea3d,third-party-document,"[""on-the-edge_limited-edition_tridents'-secret""]","{""game"": ""On the Edge"", ""set"": ""Limited Edition"", ""functional_name"": ""Tridents' Secret"", ""item_name"": ""Tridents' Secret"", ""name_printed"": ""Tridents' Secret"", ""release_date"": ""1994-10"", ""rarity"": ""R"", ""number"": ""8"", ""artist_name_provided"": ""Nephew""}",On the Edge,Limited Edition,Tridents' Secret,Tridents' Secret
a037c4d0-f62c-42e7-af6d-fec2ab75be4e,third-party-document,"[""on-the-edge_limited-edition_tulpas'-secret""]","{""game"": ""On the Edge"", ""set"": ""Limited Edition"", ""functional_name"": ""Tulpas' Secret"", ""item_name"": ""Tulpas' Secret"", ""name_printed"": ""Tulpas' Secret"", ""release_date"": ""1994-10"", ""rarity"": ""R"", ""number"": ""9"", ""artist_name_provided"": ""Nephew""}",On the Edge,Limited Edition,Tulpas' Secret,Tulpas' Secret
dff48080-1164-4160-abd0-d5ccd3c26214,third-party-document,"[""on-the-edge_limited-edition_the-dirt-on-dr.-nusbaum""]","{""game"": ""On the Edge"", ""set"": ""Limited Edition"", ""functional_name"": ""The Dirt on Dr. Nusbaum"", ""item_name"": ""The Dirt on Dr. Nusbaum"", ""name_printed"": ""The Dirt on Dr. Nusbaum"", ""release_date"": ""1994-10"", ""rarity"": ""R"", ""number"": ""10"", ""artist_name_provided"": ""Nephew""}",On the Edge,Limited Edition,The Dirt on Dr. Nusbaum,The Dirt on Dr. Nusbaum
