id,source,images,attributes,game,set,functional_name,item_name
cb89a02b-de3e-4e98-b4f2-ab69f6f0fc6a,item,"[""rage_limited-edition_allamande_obverse"", ""rage_limited-edition_allamande_reverse""]","{""game"": ""Rage"", ""set"": ""Limited Edition"", ""functional_name"": ""Allamande"", ""item_name"": ""Allamande"", ""name_printed"": ""Allamande"", ""release_date"": ""1995-05"", ""rarity"": ""Rare"", ""deck"": ""Pack"", ""type_printed"": ""Character"", ""allegiance"": ""Gaia"", ""renown"": ""6"", ""tribe"": ""Ratkin"", ""breed_form"": ""Metis"", ""battle_form"": ""Metis"", ""starting_rage"": ""6"", ""starting_gnosis"": ""5"", ""starting_health"": ""5"", ""battle_rage"": ""6"", ""battle_gnosis"": ""5"", ""battle_health"": ""5"", ""text_printed"": ""Allamande is a Knife Skulker of the Ratkin (wererats) and is a master of stealth. When Allamande is alpha, his challenges cannot be refused."", ""artist_name_printed"": ""??? Anson"", ""artist_name_normalized"": ""Anson Maddocks""}",Rage,Limited Edition,Allamande,Allamande
ee9f946b-068d-41c1-80a3-46eb6075f6ae,item,"[""rage_limited-edition_allison-kachina_obverse"", ""rage_limited-edition_allison-kachina_reverse""]","{""game"": ""Rage"", ""set"": ""Limited Edition"", ""functional_name"": ""Allison Kachina"", ""item_name"": ""Allison Kachina"", ""name_printed"": ""Allison Kachina"", ""release_date"": ""1995-05"", ""rarity"": ""Uncommon"", ""deck"": ""Pack"", ""type_printed"": ""Character"", ""allegiance"": ""Gaia"", ""renown"": ""4"", ""tribe"": ""Wendigo"", ""auspice"": ""Ahroun"", ""breed_form"": ""Homid"", ""battle_form"": ""Crinos"", ""starting_rage"": ""1"", ""starting_gnosis"": ""2"", ""starting_health"": ""2"", ""battle_rage"": ""4"", ""battle_gnosis"": ""2"", ""battle_health"": ""3"", ""text_printed"": ""Allison can automatically pack attack or defend with her twin brother Thomas. If Thomas is in another player's pack, Thomas joins at that player's option."", ""artist_name_printed"": ""E. Allen Smith""}",Rage,Limited Edition,Allison Kachina,Allison Kachina
f0c0dab1-c6b5-499e-a77a-47429e6d6837,item,"[""rage_limited-edition_amari-howls-from-soul_obverse"", ""rage_limited-edition_amari-howls-from-soul_reverse""]","{""game"": ""Rage"", ""set"": ""Limited Edition"", ""functional_name"": ""Amari Howls-from-soul"", ""item_name"": ""Amari Howls-from-soul"", ""name_printed"": ""Amari Howls-from-soul"", ""release_date"": ""1995-05"", ""rarity"": ""Common"", ""deck"": ""Pack"", ""type_printed"": ""Character"", ""allegiance"": ""Gaia"", ""renown"": ""1"", ""tribe"": ""Black Furies"", ""auspice"": ""Galliard"", ""breed_form"": ""Lupus"", ""battle_form"": ""Crinos"", ""starting_rage"": ""1"", ""starting_gnosis"": ""1"", ""starting_health"": ""1"", ""battle_rage"": ""1"", ""battle_gnosis"": ""1"", ""battle_health"": ""2"", ""text_printed"": ""Amari's packmates gain +1 Rage during pack attacks."", ""artist_name_printed"": ""Drew Tucker""}",Rage,Limited Edition,Amari Howls-from-soul,Amari Howls-from-soul
f8de5017-068e-41d9-9792-2c0a799826f8,item,"[""rage_limited-edition_anna-kliminski_obverse"", ""rage_limited-edition_anna-kliminski_reverse""]","{""game"": ""Rage"", ""set"": ""Limited Edition"", ""functional_name"": ""Anna Kliminski"", ""item_name"": ""Anna Kliminski"", ""name_printed"": ""Anna Kliminski"", ""release_date"": ""1995-05"", ""rarity"": ""Rare"", ""deck"": ""Pack"", ""type_printed"": ""Character"", ""allegiance"": ""Gaia"", ""renown"": ""9"", ""tribe"": ""Shadow Lords"", ""auspice"": ""Ahroun"", ""breed_form"": ""Homid"", ""battle_form"": ""Crinos"", ""starting_rage"": ""3"", ""starting_gnosis"": ""8"", ""starting_health"": ""4"", ""battle_rage"": ""9"", ""battle_gnosis"": ""8"", ""battle_health"": ""8"", ""text_printed"": ""Anna may begin the game armed with a Klaive equipment card."", ""artist_name_printed"": ""Brian LeBlanc""}",Rage,Limited Edition,Anna Kliminski,Anna Kliminski
8a65c68e-e90c-4c8d-8ea6-79d63f31d071,item,"[""rage_limited-edition_anna-eyes-of-the-sun-pelfrey_obverse"", ""rage_limited-edition_anna-eyes-of-the-sun-pelfrey_reverse""]","{""game"": ""Rage"", ""set"": ""Limited Edition"", ""functional_name"": ""Anna-Eyes of the Sun-Pelfrey"", ""item_name"": ""Anna-Eyes of the Sun-Pelfrey"", ""name_printed"": ""Anna-Eyes of the Sun-Pelfrey"", ""release_date"": ""1995-05"", ""rarity"": ""Uncommon"", ""deck"": ""Pack"", ""type_printed"": ""Character"", ""allegiance"": ""Gaia"", ""renown"": ""5"", ""tribe"": ""Uktena"", ""auspice"": ""Galliard"", ""breed_form"": ""Lupus"", ""battle_form"": ""Crinos"", ""starting_rage"": ""1"", ""starting_gnosis"": ""7"", ""starting_health"": ""2"", ""battle_rage"": ""3"", ""battle_gnosis"": ""7"", ""battle_health"": ""5"", ""text_printed"": ""Anna has +1 Renown for moot votes."", ""artist_name_printed"": ""Jesper Myfors""}",Rage,Limited Edition,Anna-Eyes of the Sun-Pelfrey,Anna-Eyes of the Sun-Pelfrey
cc0a6a4b-493d-4999-b498-dad60982fa2f,item,"[""rage_limited-edition_antonine-teardrop_obverse"", ""rage_limited-edition_antonine-teardrop_reverse""]","{""game"": ""Rage"", ""set"": ""Limited Edition"", ""functional_name"": ""Antonine Teardrop"", ""item_name"": ""Antonine Teardrop"", ""name_printed"": ""Antonine Teardrop"", ""release_date"": ""1995-05"", ""rarity"": ""Uncommon"", ""deck"": ""Pack"", ""type_printed"": ""Character"", ""allegiance"": ""Gaia"", ""renown"": ""8"", ""tribe"": ""Stargazers"", ""auspice"": ""Philodox"", ""breed_form"": ""Homid"", ""battle_form"": ""Crinos"", ""starting_rage"": ""2"", ""starting_gnosis"": ""9"", ""starting_health"": ""3"", ""battle_rage"": ""7"", ""battle_gnosis"": ""9"", ""battle_health"": ""7"", ""text_printed"": ""If Antonine equips with a Klaive, it can never be stolen or discarded - as long as he lives."", ""artist_name_printed"": ""Mike Danza""}",Rage,Limited Edition,Antonine Teardrop,Antonine Teardrop
f088ab84-4ae5-492c-b721-961b23e6eea1,item,"[""rage_limited-edition_augra_obverse"", ""rage_limited-edition_augra_reverse""]","{""game"": ""Rage"", ""set"": ""Limited Edition"", ""functional_name"": ""Augra"", ""item_name"": ""Augra"", ""name_printed"": ""Augra"", ""release_date"": ""1995-05"", ""rarity"": ""Rare"", ""deck"": ""Pack"", ""type_printed"": ""Character"", ""allegiance"": ""Gaia"", ""renown"": ""8"", ""tribe"": ""Gurahl"", ""auspice"": ""Philodox"", ""breed_form"": ""Ursine"", ""battle_form"": ""Crinos"", ""starting_rage"": ""3"", ""starting_gnosis"": ""6"", ""starting_health"": ""6"", ""battle_rage"": ""6"", ""battle_gnosis"": ""6"", ""battle_health"": ""10"", ""text_printed"": ""Augra is a Gurahl (werebear). She can use Gifts of any auspice except Theurge"", ""artist_name_printed"": ""Brian LeBlanc""}",Rage,Limited Edition,Augra,Augra
2e90ca2e-7f32-469d-87a4-2aa1507dbe90,item,"[""rage_limited-edition_banana-split_obverse"", ""rage_limited-edition_banana-split_reverse""]","{""game"": ""Rage"", ""set"": ""Limited Edition"", ""functional_name"": ""Banana Split"", ""item_name"": ""Banana Split"", ""name_printed"": ""Banana Split"", ""release_date"": ""1995-05"", ""rarity"": ""Common"", ""deck"": ""Pack"", ""type_printed"": ""Character"", ""allegiance"": ""Gaia"", ""renown"": ""2"", ""tribe"": ""Bone Gnawers"", ""auspice"": ""Ahroun"", ""breed_form"": ""Metis"", ""battle_form"": ""Metis"", ""starting_rage"": ""3"", ""starting_gnosis"": ""1"", ""starting_health"": ""3"", ""battle_rage"": ""3"", ""battle_gnosis"": ""1"", ""battle_health"": ""3"", ""text_printed"": ""Once per game after a round's combat cards have been played, Banana Split can cancel both his card and one opponent's card by interrupting with a bad joke. \u0022Two Garou walk into a bar...\u0022"", ""artist_name_printed"": ""Joshua Gabriel Timbrook""}",Rage,Limited Edition,Banana Split,Banana Split
0e18547f-ef1b-4291-a220-d7c480e823f0,item,"[""rage_limited-edition_bladetooth_obverse"", ""rage_limited-edition_bladetooth_reverse""]","{""game"": ""Rage"", ""set"": ""Limited Edition"", ""functional_name"": ""Bladetooth"", ""item_name"": ""Bladetooth"", ""name_printed"": ""Bladetooth"", ""release_date"": ""1995-05"", ""rarity"": ""Common"", ""deck"": ""Pack"", ""type_printed"": ""Character"", ""allegiance"": ""Gaia"", ""renown"": ""4"", ""tribe"": ""Get of Fenris"", ""auspice"": ""Theurge"", ""breed_form"": ""Lupus"", ""battle_form"": ""Crinos"", ""starting_rage"": ""1"", ""starting_gnosis"": ""6"", ""starting_health"": ""2"", ""battle_rage"": ""3"", ""battle_gnosis"": ""6"", ""battle_health"": ""4"", ""text_printed"": ""Bladetooth is an outcast from the Get. Bladetooth cannot participate in any pack action with the Get."", ""artist_name_printed"": ""Ron States""}",Rage,Limited Edition,Bladetooth,Bladetooth
054a805b-fb2e-42cf-91c8-3c5b593ba87a,item,"[""rage_limited-edition_blood-on-the-wind_obverse"", ""rage_limited-edition_blood-on-the-wind_reverse""]","{""game"": ""Rage"", ""set"": ""Limited Edition"", ""functional_name"": ""Blood-on-the-Wind"", ""item_name"": ""Blood-on-the-Wind"", ""name_printed"": ""Blood-on-the-Wind"", ""release_date"": ""1995-05"", ""rarity"": ""Rare"", ""deck"": ""Pack"", ""type_printed"": ""Character"", ""allegiance"": ""Gaia"", ""renown"": ""9"", ""tribe"": ""Wendigo"", ""auspice"": ""Galliard"", ""breed_form"": ""Lupus"", ""battle_form"": ""Crinos"", ""starting_rage"": ""3"", ""starting_gnosis"": ""9"", ""starting_health"": ""4"", ""battle_rage"": ""8"", ""battle_gnosis"": ""9"", ""battle_health"": ""8"", ""text_printed"": ""All Wendigo in the same pack as Blood-on-the-Wind gain +1 Rage"", ""artist_name_printed"": ""John Matson""}",Rage,Limited Edition,Blood-on-the-Wind,Blood-on-the-Wind
