id,source,images,attributes,game,set,name
e2d82879-07b3-4ba3-adf0-42b74e461a56,photo,"[""the-crow_limited-edition_a-dead-man-visits-you"", ""the-crow_back""]","{""game"": ""The Crow"", ""set"": ""Limited Edition"", ""name"": ""A Dead Man Visits You"", ""rarity"": ""Common"", ""type"": ""Special"", ""ar"": ""-1"", ""dr"": ""-1"", ""text"": ""Play on any Devil in combat with your CROW."", ""virtue"": ""3""}",The Crow,Limited Edition,A Dead Man Visits You
735405f8-e818-4da1-a689-5fbd2e5a1bff,item,"[""the-crow_limited-edition_anarchy---now-that's-fun!"", ""the-crow_back""]","{""game"": ""The Crow"", ""set"": ""Limited Edition"", ""name"": ""Anarchy - Now That's Fun!"", ""rarity"": ""Common"", ""type"": ""Special"", ""ar"": ""0"", ""dr"": ""0"", ""text"": ""Play after your draw step. You may perform 1 extra action this turn, even an extra Attack."", ""virtue"": ""3""}",The Crow,Limited Edition,Anarchy - Now That's Fun!
0b30ec3d-059c-4d51-b40c-d333d21d9ec8,photo,"[""the-crow_limited-edition_arson"", ""the-crow_back""]","{""game"": ""The Crow"", ""set"": ""Limited Edition"", ""name"": ""Arson"", ""rarity"": ""Uncommon"", ""type"": ""Special"", ""ar"": ""0"", ""dr"": ""0"", ""text"": ""Play any time. Discard any HANGOUT in play."", ""virtue"": ""3""}",The Crow,Limited Edition,Arson
66cd9952-40ac-4221-b98c-d8ff64623ea8,photo,"[""the-crow_limited-edition_attrition"", ""the-crow_back""]","{""game"": ""The Crow"", ""set"": ""Limited Edition"", ""name"": ""Attrition"", ""rarity"": ""Chase"", ""type"": ""Special"", ""ar"": ""0"", ""dr"": ""0"", ""text"": ""Attach to game any time. Only one of each HANGOUT may be in play at any time."", ""virtue"": ""3""}",The Crow,Limited Edition,Attrition
65acd2f8-ad9c-4c76-a464-55d1da502842,item,"[""the-crow_limited-edition_awareness"", ""the-crow_back""]","{""game"": ""The Crow"", ""set"": ""Limited Edition"", ""name"": ""Awareness"", ""rarity"": ""Common"", ""type"": ""Special"", ""ar"": ""1"", ""dr"": ""1"", ""text"": ""Play on any soul during combat."", ""virtue"": ""3""}",The Crow,Limited Edition,Awareness
a824d966-3adf-4bc5-b110-108bd6a20269,photo,"[""the-crow_limited-edition_believe-in-angels"", ""the-crow_back""]","{""game"": ""The Crow"", ""set"": ""Limited Edition"", ""name"": ""Believe In Angels"", ""rarity"": ""Uncommon"", ""type"": ""Special"", ""ar"": ""2"", ""dr"": ""2"", ""text"": ""Play as 2 actions. All CROWs in play are affected until the beginning of your next turn."", ""virtue"": ""3""}",The Crow,Limited Edition,Believe In Angels
1767fed6-6972-4aa1-ae92-f5ea906a3c3b,photo,"[""the-crow_limited-edition_big-plans"", ""the-crow_back""]","{""game"": ""The Crow"", ""set"": ""Limited Edition"", ""name"": ""Big Plans"", ""rarity"": ""Uncommon"", ""type"": ""Special"", ""ar"": ""0"", ""dr"": ""0"", ""text"": ""Play at start of opponent's Attack action. Tell player which soul must be the Attacker. Player chooses Defender (if possible)."", ""virtue"": ""3""}",The Crow,Limited Edition,Big Plans
4fc7ecf2-a29c-4104-ae0b-40b25c218623,item,"[""the-crow_limited-edition_blade"", ""the-crow_back""]","{""game"": ""The Crow"", ""set"": ""Limited Edition"", ""name"": ""Blade"", ""rarity"": ""Common"", ""type"": ""Special"", ""ar"": ""2"", ""dr"": ""0"", ""text"": ""ITEM and WEAPON. Attach to any soul as 2 actions."", ""virtue"": ""3""}",The Crow,Limited Edition,Blade
f9f4b57e-7926-4938-97f9-41503d2bcbc1,photo,"[""the-crow_limited-edition_blend-in"", ""the-crow_back""]","{""game"": ""The Crow"", ""set"": ""Limited Edition"", ""name"": ""Blend In"", ""rarity"": ""Uncommon"", ""type"": ""Special"", ""ar"": ""3"", ""dr"": ""3"", ""text"": ""Attach to any Bystander as 1 action. Discard this card if Bystander becomes an Angel or Devil, (after the combat)."", ""virtue"": ""3""}",The Crow,Limited Edition,Blend In
9ae60a1e-1db9-4fb0-8986-7ed768d04099,photo,"[""the-crow_limited-edition_blinded"", ""the-crow_back""]","{""game"": ""The Crow"", ""set"": ""Limited Edition"", ""name"": ""Blinded"", ""rarity"": ""Uncommon"", ""type"": ""Special"", ""ar"": ""-2"", ""dr"": ""-2"", ""text"": ""Attach to any soul as 3 actions."", ""virtue"": ""3""}",The Crow,Limited Edition,Blinded
